ID,Type,Movie_number,Fly_number,Other_number,Difference_x,Difference_y,Distance
321,Dmelanogaster,1,17,16,18.16163894,-50.70181081,53.85646432
322,Dmelanogaster,1,18,16,15.63313547,-72.1082258,73.78340703
323,Dmelanogaster,1,19,16,21.73359896,-78.21434154,81.17778358
324,Dmelanogaster,1,0,17,30.18913636,3.024362087,30.34024917
325,Dmelanogaster,1,1,17,20.47598949,8.01635139,21.98927091
326,Dmelanogaster,1,2,17,6.334887,-13.21292678,14.65306205
327,Dmelanogaster,1,3,17,-29.19900344,66.15489287,72.31218191
328,Dmelanogaster,1,4,17,-32.26723478,-34.17024915,46.99766343
329,Dmelanogaster,1,5,17,20.54429867,12.03411218,23.80941124
330,Dmelanogaster,1,6,17,-38.4997907,70.3013577,80.15307092
331,Dmelanogaster,1,7,17,19.50442222,4.72867208,20.06945006
332,Dmelanogaster,1,8,17,-9.058609322,25.97118932,27.50565537
333,Dmelanogaster,1,9,17,33.10777867,14.37004515,36.09187175
334,Dmelanogaster,1,10,17,15.83621226,14.42157245,21.41885549
335,Dmelanogaster,1,11,17,22.47089807,52.68072951,57.27303486
336,Dmelanogaster,1,12,17,-17.59806629,29.76439455,34.5776101
337,Dmelanogaster,1,13,17,-39.65147155,-9.997067184,40.89230427
338,Dmelanogaster,1,14,17,-24.24570291,59.22880799,63.9992641
339,Dmelanogaster,1,15,17,-30.06812582,69.58519454,75.80363771
340,Dmelanogaster,1,16,17,-18.16163894,50.70181081,53.85646432
341,Dmelanogaster,1,18,17,-2.528503469,-21.40641498,21.55522981
342,Dmelanogaster,1,19,17,3.57196002,-27.51253073,27.74343608
343,Dmelanogaster,1,0,18,32.71763982,24.43077707,40.83266859
344,Dmelanogaster,1,1,18,23.00449296,29.42276637,37.34843876
345,Dmelanogaster,1,2,18,8.863390469,8.193488202,12.07033303
346,Dmelanogaster,1,3,18,-26.67049997,87.56130785,91.53304431
347,Dmelanogaster,1,4,18,-29.73873131,-12.76383417,32.36213223
348,Dmelanogaster,1,5,18,23.07280214,33.44052716,40.62786058
349,Dmelanogaster,1,6,18,-35.97128723,91.70777268,98.51014706
350,Dmelanogaster,1,7,18,22.03292568,26.13508706,34.18322088
351,Dmelanogaster,1,8,18,-6.530105853,47.3776043,47.82551277
352,Dmelanogaster,1,9,18,35.63628214,35.77646013,50.49653161
353,Dmelanogaster,1,10,18,18.36471573,35.82798743,40.26049512
354,Dmelanogaster,1,11,18,24.99940154,74.0871445,78.19127225
355,Dmelanogaster,1,12,18,-15.06956282,51.17080954,53.34363572
356,Dmelanogaster,1,13,18,-37.12296809,11.4093478,38.83668339
357,Dmelanogaster,1,14,18,-21.71719944,80.63522297,83.5085381
358,Dmelanogaster,1,15,18,-27.53962235,90.99160953,95.06789049
359,Dmelanogaster,1,16,18,-15.63313547,72.1082258,73.78340703
360,Dmelanogaster,1,17,18,2.528503469,21.40641498,21.55522981
361,Dmelanogaster,1,19,18,6.100463489,-6.106115747,8.631355878
362,Dmelanogaster,1,0,19,26.61717634,30.53689282,40.50896072
363,Dmelanogaster,1,1,19,16.90402947,35.52888212,39.34523703
364,Dmelanogaster,1,2,19,2.76292698,14.29960395,14.56408042
365,Dmelanogaster,1,3,19,-32.77096346,93.6674236,99.2346829
366,Dmelanogaster,1,4,19,-35.8391948,-6.657718424,36.4523401
367,Dmelanogaster,1,5,19,16.97233865,39.54664291,43.03483757
368,Dmelanogaster,1,6,19,-42.07175072,97.81388843,106.478115
369,Dmelanogaster,1,7,19,15.9324622,32.24120281,35.96301587
370,Dmelanogaster,1,8,19,-12.63056934,53.48372005,54.95488688
371,Dmelanogaster,1,9,19,29.53581865,41.88257588,51.2495341
372,Dmelanogaster,1,10,19,12.26425224,41.93410318,43.69074149
373,Dmelanogaster,1,11,19,18.89893805,80.19326024,82.39010164
374,Dmelanogaster,1,12,19,-21.17002631,57.27692529,61.06403347
375,Dmelanogaster,1,13,19,-43.22343158,17.51546355,46.63750101
376,Dmelanogaster,1,14,19,-27.81766293,86.74133872,91.09271219
377,Dmelanogaster,1,15,19,-33.64008584,97.09772527,102.7600293
378,Dmelanogaster,1,16,19,-21.73359896,78.21434154,81.17778358
379,Dmelanogaster,1,17,19,-3.57196002,27.51253073,27.74343608
380,Dmelanogaster,1,18,19,-6.100463489,6.106115747,8.631355878
381,Dmelanogaster,2,1,0,54.77789188,87.28949163,103.0537374
382,Dmelanogaster,2,2,0,63.6524197,-3.321879592,63.73904155
383,Dmelanogaster,2,3,0,67.03946651,84.89448532,108.1728418
